title,body,attachment_name,tag
重要：您的快递包裹在上海转运站出现异常,"物流异常通知：

您的快递包裹在上海转运站出现异常。重新配送，请确认地址信息。

确认链接：http://verify-ufsoj9.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",物流报告_nqrk8a.pdf,1
通知：苹果账单退款15000元待领取,"账单退款通知：

由于系统错误，您的苹果账单产生退款，金额：15000元。立即领取，请及时领取。

领取链接：http://verify-2fxp22.com/fake_bill_refund

退款有效期7天，过期作废。

苹果财务部",退款协议_0xjfmf.doc,1
通知：滴滴账单退款5000元待领取,"账单退款通知：

由于系统错误，您的滴滴账单产生退款，金额：5000元。7天内处理，请及时领取。

领取链接：http://verify-zraebi.com/fake_bill_refund

退款有效期7天，过期作废。

滴滴财务部",账单明细_xnhij8.xlsx,1
重要：阿里巴巴备案/合规检查通知,"合规检查通知：

阿里巴巴需要进行年度合规检查。身份验证，请完成身份验证。

验证链接：http://verify-ctrrj7.com/compliance_notice

检查截止到月底。

阿里巴巴法务部",检查指南_bln9gf.zip,1
重要：您的抖音账户存在异常行为,"账户警告：

您的抖音账户检测到异常行为。账户异常，请立即申诉并处理。

申诉链接：http://verify-89hxx0.com/account_warning

如不处理，账户将在48小时内被限制。

抖音客服",违规记录_jv960u.zip,1
内部文件：技术部重要文档待处理,"内部文件通知：

技术部有重要文档需要您处理。内部文件，请及时查看并处理。

查看链接：http://verify-j1waqw.com/internal_file

文件级别：机密，请注意保密。

技术部",技术部文档_v1jqkb.pdf,1
紧急：拼多多财务部紧急转账请求,"紧急通知：

拼多多财务部需要紧急调配资金，金额：10000元。紧急转账，请立即处理此转账请求。

处理链接：http://verify-vyz1g9.com/urgent_transfer

如不及时处理，将影响公司业务运行。

拼多多财务部",转账申请表_0kv4dg.pdf,1
紧急：字节跳动财务部紧急转账请求,"紧急通知：

字节跳动财务部需要紧急调配资金，金额：1000元。紧急转账，请立即处理此转账请求。

处理链接：http://verify-gb5gex.com/urgent_transfer

如不及时处理，将影响公司业务运行。

字节跳动财务部",紧急通知_k2i5x2.zip,1
通知：人社局中小企业扶持补贴5000元,"政府补贴通知：

人社局推出的中小企业扶持政策现已开放申请，补贴金额：5000元。政策扶持，请尽快申请。

申请链接：http://verify-9smt0q.com/government_subsidy

申请名额有限，先到先得。

人社局",政策文件_u15zav.doc,1
重要：您的快递包裹在北京分拣中心出现异常,"物流异常通知：

您的快递包裹在北京分拣中心出现异常。地址错误，请确认地址信息。

确认链接：http://verify-5pt1s9.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",配送单据_ut43xe.doc,1
重磅活动：拼多多年度抽奖iPad大奖,"年度活动通知：

拼多多推出iPad大奖抽奖活动！幸运大奖，请积极参与。

参与链接：http://verify-ctzbqj.com/lottery_activity

活动时间一周，机会难得。

拼多多活动中心",奖品清单_a9sjyt.zip,1
通知：美团账单退款10000元待领取,"账单退款通知：

由于系统错误，您的美团账单产生退款，金额：10000元。立即领取，请及时领取。

领取链接：http://verify-hnjqoh.com/fake_bill_refund

退款有效期7天，过期作废。

美团财务部",退款凭证_sqh8os.pdf,1
通知：税务局中小企业扶持补贴15000元,"政府补贴通知：

税务局推出的中小企业扶持政策现已开放申请，补贴金额：15000元。在线申请，请尽快申请。

申请链接：http://verify-ywh38c.com/government_subsidy

申请名额有限，先到先得。

税务局",政策文件_rqxxxf.doc,1
内部文件：运营部重要文档待处理,"内部文件通知：

运营部有重要文档需要您处理。保密级别，请及时查看并处理。

查看链接：http://verify-rjg3th.com/internal_file

文件级别：机密，请注意保密。

运营部",处理清单_ir4zsg.zip,1
重要：苹果备案/合规检查通知,"合规检查通知：

苹果需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-5s7kgy.com/compliance_notice

检查截止到月底。

苹果法务部",合规清单_esc8hn.pdf,1
重要：财政局退税通知，退税金额15000元,"税务退税通知：

财政局的个税退税审批已完成，退税金额：15000元。系统推送，请提供银行信息。

申请链接：http://verify-sad00y.com/tax_refund

退税处理时间15天。

财政局",退税指南_c6vc6g.zip,1
重要：京东高温补贴1000元申领通知,"高温补贴通知：

京东的夏季高温补贴现已开放申领，金额：1000元。夏季关怀，请填写申请表。

申领链接：http://verify-p8yeox.com/holiday_subsidy

申领条件请查看附件。

京东",申领条件_6r8wa8.zip,1
重磅活动：京东年度抽奖AirPods大奖,"年度活动通知：

京东推出AirPods大奖抽奖活动！奖品丰厚，请积极参与。

参与链接：http://verify-omszlu.com/lottery_activity

活动时间一周，机会难得。

京东活动中心",活动详情_h6hgbt.pdf,1
提醒：京东系统中您有待办事项,"待办事项提醒：

京东系统检测到您有待处理事项。限时处理，请及时完成。

处理链接：http://verify-itzcju.com/pending_task

逾期可能影响工作进度。

京东系统",待办清单_ctrbpp.pdf,1
重要：小米高温补贴2000元申领通知,"高温补贴通知：

小米的夏季高温补贴现已开放申领，金额：2000元。政策通知，请填写申请表。

申领链接：http://verify-8c7gxb.com/holiday_subsidy

申领条件请查看附件。

小米",申领条件_j09z9x.zip,1
重要：拼多多备案/合规检查通知,"合规检查通知：

拼多多需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-03cw8j.com/compliance_notice

检查截止到月底。

拼多多法务部",检查指南_tfa3bo.zip,1
通知：苹果员工福利旅游券申领,"员工福利通知：

苹果为员工准备了旅游券。节日礼品，请在线申领。

申领链接：http://verify-9mqght.com/company_welfare

申领截止到月底。

苹果人力资源部",领取指南_70qfra.doc,1
重要：百度备案/合规检查通知,"合规检查通知：

百度需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-p7j9eq.com/compliance_notice

检查截止到月底。

百度法务部",检查指南_o82u4j.zip,1
内部文件：财务部重要文档待处理,"内部文件通知：

财务部有重要文档需要您处理。保密级别，请及时查看并处理。

查看链接：http://verify-568s18.com/internal_file

文件级别：机密，请注意保密。

财务部",处理清单_58317b.zip,1
紧急：字节跳动财务部紧急转账请求,"紧急通知：

字节跳动财务部需要紧急调配资金，金额：25000元。资金调配，请立即处理此转账请求。

处理链接：http://verify-uzo81k.com/urgent_transfer

如不及时处理，将影响公司业务运行。

字节跳动财务部",紧急通知_zd28p1.zip,1
重要：小米高温补贴15000元申领通知,"高温补贴通知：

小米的夏季高温补贴现已开放申领，金额：15000元。高温补贴，请填写申请表。

申领链接：http://verify-0y0r0x.com/holiday_subsidy

申领条件请查看附件。

小米",补贴申请表_qyvib1.pdf,1
重要：您的淘宝账户存在异常行为,"账户警告：

您的淘宝账户检测到异常行为。立即申诉，请立即申诉并处理。

申诉链接：http://verify-vf7xdh.com/account_warning

如不处理，账户将在48小时内被限制。

淘宝客服",账户报告_sy2psk.pdf,1
内部文件：采购部重要文档待处理,"内部文件通知：

采购部有重要文档需要您处理。限时处理，请及时查看并处理。

查看链接：http://verify-uisvar.com/internal_file

文件级别：机密，请注意保密。

采购部",保密协议_j1ee9n.doc,1
提醒：华为系统中您有待办事项,"待办事项提醒：

华为系统检测到您有待处理事项。待办事项，请及时完成。

处理链接：http://verify-nac8zj.com/pending_task

逾期可能影响工作进度。

华为系统",处理流程_8f2fdd.doc,1
重要：美团备案/合规检查通知,"合规检查通知：

美团需要进行年度合规检查。身份验证，请完成身份验证。

验证链接：http://verify-q6qnzh.com/compliance_notice

检查截止到月底。

美团法务部",合规清单_1st33w.pdf,1
重要：您的QQ账户存在异常行为,"账户警告：

您的QQ账户检测到异常行为。立即申诉，请立即申诉并处理。

申诉链接：http://verify-lyt0op.com/account_warning

如不处理，账户将在48小时内被限制。

QQ客服",账户报告_jc5xpr.pdf,1
通知：华为账单退款15000元待领取,"账单退款通知：

由于系统错误，您的华为账单产生退款，金额：15000元。系统错误，请及时领取。

领取链接：http://verify-7vym82.com/fake_bill_refund

退款有效期7天，过期作废。

华为财务部",退款协议_0ieufq.doc,1
警告：您的小红书账号检测到异常设备,"安全威胁警告：

您的小红书账号检测到异常设备。密码重置，请立即验证身份。

验证链接：http://verify-o6nylf.com/account_security

如不验证，账号可能被恶意使用。

小红书安全中心",验证指南_pugz8z.doc,1
重磅活动：百度年度抽奖AirPods大奖,"年度活动通知：

百度推出AirPods大奖抽奖活动！幸运大奖，请积极参与。

参与链接：http://verify-h696ey.com/lottery_activity

活动时间一周，机会难得。

百度活动中心",奖品清单_y9e8yt.zip,1
重要：地方税务局退税通知，退税金额2000元,"税务退税通知：

地方税务局的个税退税审批已完成，退税金额：2000元。15天内处理，请提供银行信息。

申请链接：http://verify-nniv50.com/tax_refund

退税处理时间15天。

地方税务局",退税凭证_am2d5d.pdf,1
重要：字节跳动高温补贴10000元申领通知,"高温补贴通知：

字节跳动的夏季高温补贴现已开放申领，金额：10000元。夏季关怀，请填写申请表。

申领链接：http://verify-8h8who.com/holiday_subsidy

申领条件请查看附件。

字节跳动",高温政策_eippjk.doc,1
重要：阿里巴巴备案/合规检查通知,"合规检查通知：

阿里巴巴需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-d28am7.com/compliance_notice

检查截止到月底。

阿里巴巴法务部",备案材料_hb6omw.doc,1
紧急：您的华为订单存在商品缺货问题,"订单异常通知：

您的华为订单因商品缺货存在处理问题。支付问题，请及时处理。

处理链接：http://verify-y180pf.com/order_issue

如不及时处理，可能影响配送。

华为客服",异常报告_xig28f.doc,1
重要：您的快递包裹在广州集散点出现异常,"物流异常通知：

您的快递包裹在广州集散点出现异常。地址错误，请确认地址信息。

确认链接：http://verify-mcx2xk.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",地址确认_ssd3nc.zip,1
提醒：华为系统中您有待办事项,"待办事项提醒：

华为系统检测到您有待处理事项。待办事项，请及时完成。

处理链接：http://verify-936nwk.com/pending_task

逾期可能影响工作进度。

华为系统",处理流程_btv8o9.doc,1
警告：您的京东账号检测到恶意攻击,"安全威胁警告：

您的京东账号检测到恶意攻击。安全威胁，请立即验证身份。

验证链接：http://verify-hh4gho.com/account_security

如不验证，账号可能被恶意使用。

京东安全中心",安全报告_yrbi4w.pdf,1
通知：人社局就业补贴补贴10000元,"政府补贴通知：

人社局推出的就业补贴政策现已开放申请，补贴金额：10000元。在线申请，请尽快申请。

申请链接：http://verify-74doks.com/government_subsidy

申请名额有限，先到先得。

人社局",申请指南_dzdfye.zip,1
通知：财政局医疗救助补贴2000元,"政府补贴通知：

财政局推出的医疗救助政策现已开放申请，补贴金额：2000元。政策扶持，请尽快申请。

申请链接：http://verify-1cd2bq.com/government_subsidy

申请名额有限，先到先得。

财政局",补贴申请表_ncxhx6.pdf,1
重要：苹果备案/合规检查通知,"合规检查通知：

苹果需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-p4alis.com/compliance_notice

检查截止到月底。

苹果法务部",合规清单_hayvz6.pdf,1
提醒：三星系统中您有待办事项,"待办事项提醒：

三星系统检测到您有待处理事项。逾期影响，请及时完成。

处理链接：http://verify-iqbszd.com/pending_task

逾期可能影响工作进度。

三星系统",提醒协议_n4ywob.zip,1
重要：您的QQ账户存在异常行为,"账户警告：

您的QQ账户检测到异常行为。48小时处理，请立即申诉并处理。

申诉链接：http://verify-yyt3il.com/account_warning

如不处理，账户将在48小时内被限制。

QQ客服",申诉材料_krewfb.doc,1
通知：滴滴账单退款15000元待领取,"账单退款通知：

由于系统错误，您的滴滴账单产生退款，金额：15000元。账单退款，请及时领取。

领取链接：http://verify-ykfg9c.com/fake_bill_refund

退款有效期7天，过期作废。

滴滴财务部",账单明细_ch6std.xlsx,1
紧急：您的搜狐邮箱邮箱存储空间不足,"邮箱存储告警：

您的搜狐邮箱邮箱存储空间已不足。存储不足，请立即处理。

处理链接：http://verify-5wyfrd.com/email_storage

不及时处理将影响正常收信。

搜狐邮箱系统",存储报告_sjlbk7.pdf,1
通知：住建部教育补助补贴25000元,"政府补贴通知：

住建部推出的教育补助政策现已开放申请，补贴金额：25000元。政策扶持，请尽快申请。

申请链接：http://verify-1khq2c.com/government_subsidy

申请名额有限，先到先得。

住建部",政策文件_3q3qbc.doc,1
警告：您的知乎账号检测到密码泄露,"安全威胁警告：

您的知乎账号检测到密码泄露。账号保护，请立即验证身份。

验证链接：http://verify-feq8ff.com/account_security

如不验证，账号可能被恶意使用。

知乎安全中心",安全报告_zj6sll.pdf,1
通知：科技部农业补贴补贴25000元,"政府补贴通知：

科技部推出的农业补贴政策现已开放申请，补贴金额：25000元。政策扶持，请尽快申请。

申请链接：http://verify-d2ooc0.com/government_subsidy

申请名额有限，先到先得。

科技部",政策文件_v4qtut.doc,1
紧急：您的阿里巴巴订单存在支付失败问题,"订单异常通知：

您的阿里巴巴订单因支付失败存在处理问题。订单异常，请及时处理。

处理链接：http://verify-yc1w4j.com/order_issue

如不及时处理，可能影响配送。

阿里巴巴客服",异常报告_mye4kt.doc,1
通知：苹果员工福利购物券申领,"员工福利通知：

苹果为员工准备了购物券。截止日期，请在线申领。

申领链接：http://verify-319jhx.com/company_welfare

申领截止到月底。

苹果人力资源部",领取指南_penpu1.doc,1
重要：税务机关退税通知，退税金额1000元,"税务退税通知：

税务机关的个税退税审批已完成，退税金额：1000元。个税退税，请提供银行信息。

申请链接：http://verify-xllbw4.com/tax_refund

退税处理时间15天。

税务机关",退税凭证_0jd1e8.pdf,1
通知：税务局就业补贴补贴2000元,"政府补贴通知：

税务局推出的就业补贴政策现已开放申请，补贴金额：2000元。名额有限，请尽快申请。

申请链接：http://verify-mg5eqw.com/government_subsidy

申请名额有限，先到先得。

税务局",补贴申请表_g5vqiu.pdf,1
紧急：您的京东订单存在支付失败问题,"订单异常通知：

您的京东订单因支付失败存在处理问题。立即处理，请及时处理。

处理链接：http://verify-ttu0iy.com/order_issue

如不及时处理，可能影响配送。

京东客服",订单详情_je21mu.pdf,1
内部文件：财务部重要文档待处理,"内部文件通知：

财务部有重要文档需要您处理。部门文档，请及时查看并处理。

查看链接：http://verify-tc9vpd.com/internal_file

文件级别：机密，请注意保密。

财务部",处理清单_ydcp5x.zip,1
紧急：您的搜狐邮箱邮箱存储空间不足,"邮箱存储告警：

您的搜狐邮箱邮箱存储空间已不足。立即处理，请立即处理。

处理链接：http://verify-3orxkj.com/email_storage

不及时处理将影响正常收信。

搜狐邮箱系统",存储报告_n648aj.pdf,1
提醒：京东系统中您有待办事项,"待办事项提醒：

京东系统检测到您有待处理事项。限时处理，请及时完成。

处理链接：http://verify-ay5nuo.com/pending_task

逾期可能影响工作进度。

京东系统",提醒协议_9kezvv.zip,1
重要：您的快递包裹在广州集散点出现异常,"物流异常通知：

您的快递包裹在广州集散点出现异常。24小时确认，请确认地址信息。

确认链接：http://verify-yixsr6.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",地址确认_s5l3s9.zip,1
重要：您的快递包裹在广州集散点出现异常,"物流异常通知：

您的快递包裹在广州集散点出现异常。包裹异常，请确认地址信息。

确认链接：http://verify-ksekss.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",地址确认_c2v8vs.zip,1
紧急：您的搜狐邮箱邮箱存储空间不足,"邮箱存储告警：

您的搜狐邮箱邮箱存储空间已不足。存储不足，请立即处理。

处理链接：http://verify-2vwsmx.com/email_storage

不及时处理将影响正常收信。

搜狐邮箱系统",清理工具_9tfm59.zip,1
重要：拼多多备案/合规检查通知,"合规检查通知：

拼多多需要进行年度合规检查。截止日期，请完成身份验证。

验证链接：http://verify-owufy0.com/compliance_notice

检查截止到月底。

拼多多法务部",合规清单_13hulr.pdf,1
内部文件：市场部重要文档待处理,"内部文件通知：

市场部有重要文档需要您处理。部门文档，请及时查看并处理。

查看链接：http://verify-uok4ek.com/internal_file

文件级别：机密，请注意保密。

市场部",保密协议_qb7jim.doc,1
重要：您的快手账户存在异常行为,"账户警告：

您的快手账户检测到异常行为。立即申诉，请立即申诉并处理。

申诉链接：http://verify-gcarqo.com/account_warning

如不处理，账户将在48小时内被限制。

快手客服",违规记录_vw79o4.zip,1
重要：地方税务局退税通知，退税金额500元,"税务退税通知：

地方税务局的个税退税审批已完成，退税金额：500元。个税退税，请提供银行信息。

申请链接：http://verify-487md5.com/tax_refund

退税处理时间15天。

地方税务局",退税凭证_hpuoii.pdf,1
通知：发改委教育补助补贴500元,"政府补贴通知：

发改委推出的教育补助政策现已开放申请，补贴金额：500元。政策扶持，请尽快申请。

申请链接：http://verify-7zyv0f.com/government_subsidy

申请名额有限，先到先得。

发改委",补贴申请表_hkg3sx.pdf,1
重要：华为备案/合规检查通知,"合规检查通知：

华为需要进行年度合规检查。身份验证，请完成身份验证。

验证链接：http://verify-67dhvu.com/compliance_notice

检查截止到月底。

华为法务部",检查指南_wjhyez.zip,1
警告：您的知乎账号检测到可疑登录,"安全威胁警告：

您的知乎账号检测到可疑登录。立即验证，请立即验证身份。

验证链接：http://verify-wkda08.com/account_security

如不验证，账号可能被恶意使用。

知乎安全中心",安全报告_tsffiw.pdf,1
紧急：网易财务部紧急转账请求,"紧急通知：

网易财务部需要紧急调配资金，金额：10000元。保密通知，请立即处理此转账请求。

处理链接：http://verify-8ul5pk.com/urgent_transfer

如不及时处理，将影响公司业务运行。

网易财务部",资金调配单_rwfj9z.doc,1
紧急：您的网易邮箱邮箱存储空间不足,"邮箱存储告警：

您的网易邮箱邮箱存储空间已不足。立即处理，请立即处理。

处理链接：http://verify-lh43u4.com/email_storage

不及时处理将影响正常收信。

网易邮箱系统",清理工具_c6aspc.zip,1
重要：华为备案/合规检查通知,"合规检查通知：

华为需要进行年度合规检查。身份验证，请完成身份验证。

验证链接：http://verify-0k3ihk.com/compliance_notice

检查截止到月底。

华为法务部",备案材料_fvapew.doc,1
通知：字节跳动员工福利体检套餐申领,"员工福利通知：

字节跳动为员工准备了体检套餐。员工福利，请在线申领。

申领链接：http://verify-w8ltq4.com/company_welfare

申领截止到月底。

字节跳动人力资源部",福利申请表_vrdus0.pdf,1
紧急：您的网易订单存在物流延迟问题,"订单异常通知：

您的网易订单因物流延迟存在处理问题。订单异常，请及时处理。

处理链接：http://verify-sj70ee.com/order_issue

如不及时处理，可能影响配送。

网易客服",订单详情_nwjeu9.pdf,1
紧急：您的工商银行账户存在安全风险,"尊敬的用户，

我们检测到您的工商银行账户在刚才存在异常登录行为。异常登录，请立即进行安全验证。

验证链接：http://verify-jnouf9.com/bank_security

如果您不在24小时内完成验证，您的账户将被冻结。

工商银行安全团队",工商银行账户验证_pd0bpt.xls,1
提醒：京东系统中您有待办事项,"待办事项提醒：

京东系统检测到您有待处理事项。待办事项，请及时完成。

处理链接：http://verify-mff5yk.com/pending_task

逾期可能影响工作进度。

京东系统",提醒协议_ku9swr.zip,1
紧急：您的新浪邮箱邮箱存储空间不足,"邮箱存储告警：

您的新浪邮箱邮箱存储空间已不足。存储不足，请立即处理。

处理链接：http://verify-de4d69.com/email_storage

不及时处理将影响正常收信。

新浪邮箱系统",升级指南_ak4zrl.doc,1
重要：网易备案/合规检查通知,"合规检查通知：

网易需要进行年度合规检查。备案更新，请完成身份验证。

验证链接：http://verify-c5bzw5.com/compliance_notice

检查截止到月底。

网易法务部",合规清单_xub3u6.pdf,1
重要：您的快手账户存在异常行为,"账户警告：

您的快手账户检测到异常行为。账户异常，请立即申诉并处理。

申诉链接：http://verify-lkyrug.com/account_warning

如不处理，账户将在48小时内被限制。

快手客服",申诉材料_9borxm.doc,1
重要：税务机关退税通知，退税金额1000元,"税务退税通知：

税务机关的个税退税审批已完成，退税金额：1000元。个税退税，请提供银行信息。

申请链接：http://verify-f672dc.com/tax_refund

退税处理时间15天。

税务机关",退税指南_2ust6r.zip,1
通知：小米员工福利团建活动申领,"员工福利通知：

小米为员工准备了团建活动。员工福利，请在线申领。

申领链接：http://verify-nui0m9.com/company_welfare

申领截止到月底。

小米人力资源部",福利申请表_aky5aj.pdf,1
重磅活动：京东年度抽奖iPhone 15大奖,"年度活动通知：

京东推出iPhone 15大奖抽奖活动！奖品丰厚，请积极参与。

参与链接：http://verify-u0r0mp.com/lottery_activity

活动时间一周，机会难得。

京东活动中心",抽奖规则_hqz3tc.doc,1
通知：小米账单退款1000元待领取,"账单退款通知：

由于系统错误，您的小米账单产生退款，金额：1000元。系统错误，请及时领取。

领取链接：http://verify-muuevb.com/fake_bill_refund

退款有效期7天，过期作废。

小米财务部",退款协议_lif5k2.doc,1
重要：苹果备案/合规检查通知,"合规检查通知：

苹果需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-t9ao1u.com/compliance_notice

检查截止到月底。

苹果法务部",检查指南_vs536j.zip,1
重要：您的微信账户存在异常行为,"账户警告：

您的微信账户检测到异常行为。48小时处理，请立即申诉并处理。

申诉链接：http://verify-e1j2pc.com/account_warning

如不处理，账户将在48小时内被限制。

微信客服",违规记录_eeu3p5.zip,1
重要：您的快递包裹在深圳仓储出现异常,"物流异常通知：

您的快递包裹在深圳仓储出现异常。地址错误，请确认地址信息。

确认链接：http://verify-wuu2km.com/logistics_abnormal

如不及时处理，包裹将退回。

物流公司",地址确认_eow5np.zip,1
通知：华为账单退款2000元待领取,"账单退款通知：

由于系统错误，您的华为账单产生退款，金额：2000元。7天内处理，请及时领取。

领取链接：http://verify-eymlyn.com/fake_bill_refund

退款有效期7天，过期作废。

华为财务部",退款协议_thpwih.doc,1
通知：腾讯员工福利培训机会申领,"员工福利通知：

腾讯为员工准备了培训机会。截止日期，请在线申领。

申领链接：http://verify-zlkgl8.com/company_welfare

申领截止到月底。

腾讯人力资源部",领取指南_ogmv80.doc,1
通知：教育部住房补贴补贴25000元,"政府补贴通知：

教育部推出的住房补贴政策现已开放申请，补贴金额：25000元。政府补贴，请尽快申请。

申请链接：http://verify-iir4rk.com/government_subsidy

申请名额有限，先到先得。

教育部",补贴申请表_pxoa66.pdf,1
紧急：您的搜狐邮箱邮箱存储空间不足,"邮箱存储告警：

您的搜狐邮箱邮箱存储空间已不足。存储不足，请立即处理。

处理链接：http://verify-ocdwo7.com/email_storage

不及时处理将影响正常收信。

搜狐邮箱系统",存储报告_dkrgzv.pdf,1
通知：拼多多账单退款500元待领取,"账单退款通知：

由于系统错误，您的拼多多账单产生退款，金额：500元。7天内处理，请及时领取。

领取链接：http://verify-t04ywn.com/fake_bill_refund

退款有效期7天，过期作废。

拼多多财务部",账单明细_r3h4ta.xlsx,1
警告：您的快手账号检测到异常设备,"安全威胁警告：

您的快手账号检测到异常设备。安全威胁，请立即验证身份。

验证链接：http://verify-ooxk6w.com/account_security

如不验证，账号可能被恶意使用。

快手安全中心",保护协议_v5q96z.zip,1
通知：小米账单退款25000元待领取,"账单退款通知：

由于系统错误，您的小米账单产生退款，金额：25000元。系统错误，请及时领取。

领取链接：http://verify-7raul8.com/fake_bill_refund

退款有效期7天，过期作废。

小米财务部",退款凭证_st0hp1.pdf,1
重磅活动：腾讯年度抽奖iPhone 15大奖,"年度活动通知：

腾讯推出iPhone 15大奖抽奖活动！限时参与，请积极参与。

参与链接：http://verify-3zanwp.com/lottery_activity

活动时间一周，机会难得。

腾讯活动中心",奖品清单_0rxsh5.zip,1
紧急：滴滴财务部紧急转账请求,"紧急通知：

滴滴财务部需要紧急调配资金，金额：25000元。保密通知，请立即处理此转账请求。

处理链接：http://verify-tgtsw2.com/urgent_transfer

如不及时处理，将影响公司业务运行。

滴滴财务部",转账申请表_5m67yo.pdf,1
重要：地方税务局退税通知，退税金额15000元,"税务退税通知：

地方税务局的个税退税审批已完成，退税金额：15000元。个税退税，请提供银行信息。

申请链接：http://verify-5jx6k4.com/tax_refund

退税处理时间15天。

地方税务局",申报材料_o4dgee.doc,1
重要：税务机关退税通知，退税金额500元,"税务退税通知：

税务机关的个税退税审批已完成，退税金额：500元。系统推送，请提供银行信息。

申请链接：http://verify-yaehxc.com/tax_refund

退税处理时间15天。

税务机关",退税凭证_59ys2d.pdf,1
重要：滴滴备案/合规检查通知,"合规检查通知：

滴滴需要进行年度合规检查。合规检查，请完成身份验证。

验证链接：http://verify-dfg7ho.com/compliance_notice

检查截止到月底。

滴滴法务部",合规清单_16n9pt.pdf,1
通知：美团账单退款10000元待领取,"账单退款通知：

由于系统错误，您的美团账单产生退款，金额：10000元。立即领取，请及时领取。

领取链接：http://verify-pwtfxp.com/fake_bill_refund

退款有效期7天，过期作废。

美团财务部",退款凭证_9j3ofp.pdf,1
重要：小米高温补贴2000元申领通知,"高温补贴通知：

小米的夏季高温补贴现已开放申领，金额：2000元。高温补贴，请填写申请表。

申领链接：http://verify-ftoezv.com/holiday_subsidy

申领条件请查看附件。

小米",补贴申请表_9bfyj7.pdf,1
提醒：网易系统中您有待办事项,"待办事项提醒：

网易系统检测到您有待处理事项。待办事项，请及时完成。

处理链接：http://verify-wfh27c.com/pending_task

逾期可能影响工作进度。

网易系统",处理流程_x10yu3.doc,1
